BuildingName,Address
"Entrepot La Roche Sur Yon",.
"CITYFM LAKANAL","77 Boulevard Vauban 59800 Lille"
"Entrepot Metro Montelimar","Boulevard Charles Andre 26200 MONTELIMAR"
"Entrepot Metro Melun","Rue de la Plaine de la Croix Besnard 77000 VAUX LE PENIL"
"Entrepot Metro Evry Lisses","La Piece de la Remise R.N. 46 91090 EVRY"
"Entrepot Metro Creil","Z.A.C. du Bois des Fenetres Rue de la Revolution Francaise 60740 SAINT MAXIMIN"
"Entrepot Metro Meaux","Z.I. Nord Rue du Vide Arpents 77100 MEAUX"
"Entrepot Metro Belfort","Rue Albert Camus 90000 BELFORT"
"Entrepot Metro Besancon","6 rue Alfred Kastler 25000 BESANCON"
"Entrepot Metro Valenciennes","Rue Ernest Macarez 59300 VALENCIENNES"
"Entrepot Metro Quimper","Rond-point de Kerourvois Route de Coray 29500 ERGUE GABERIC"
"Entrepot Metro Brest","Z.I. de Kergaradec Rue Henri Becquerel 29850 GOUESNOU"
"Entrepot Metro Bobigny","Z.I. Les Vignes 35-77 rue Benoit Frachon 93013 BOBIGNY Cedex 13"
"Entrepot Metro Pau","Z.A.C. du Parvis avenue du Perlic 64140 LONS"
"Entrepot Metro Tarbes","Z.A. de Bastillac Sud 65000 TARBES"
"Entrepot Metro Brive La Gaillarde","Parc d'entreprises de Brive Ouest rue Louis Taurisson 19100 BRIVE LA GAILLARDE"
"Entrepot Metro Perigueux","111 route de Lyon Quartier de Gardanne 24000 PERIGUEUX"
"Entrepot Metro Buchelay","Rue des Closeaux Lieu dit La Grande Pi?ce 78200 BUCHELAY"
"Entrepot Metro Trappes","R.N. 10 Zone Immoparc 78190 TRAPPES"
"Entrepot Metro Trappes Bureaux","R.N. 10 Zone Immoparc 78190 TRAPPES"
"Entrepot Metro Calais","Z.A.C. Marcel Doret Rue Louis Breguet 62100  CALAIS"
"Entrepot Metro Boulogne","Zone de l'Inquetrie 62280 SAINT MARTIN BOULOGNE"
"Entrepot Metro Caen","Avenue du General De Gaulle Ancienne route de Lion sur Mer 14200 HEROUVILLE SAINT CLAIR"
"Entrepot Metro Cherbourg","Les Rouges Terres R.N.13 50470 LA GLACERIE"
